District,District Name,School,School Name,Subgroup,Valid Tests,Participation Rate,Average English Score,Average Math Score,Average Reading Score,Average Science Score,Average Composite Score,Number Scoring 21 or Higher,Percent Scoring 21 or Higher,Number Scoring Below 19,Percent Scoring Below 19
20,Bedford County,20,Shelbyville Central High School,Students with Disabilities,33,97,12,14.5,14.1,14.5,14,**,**,**,**
20,Bedford County,35,Community High School,All Students,108,97,17.4,17.2,18.2,18.4,17.9,25,23.1,64,59.3
20,Bedford County,35,Community High School,Black/Hispanic/Native American,12,100,16.7,16.8,17.3,18.2,17.3,2,16.7,9,75
20,Bedford County,35,Community High School,Economically Disadvantaged,25,100,16.5,16.5,16.4,17.2,16.8,4,16,19,76
20,Bedford County,35,Community High School,English Learners,1,*,*,*,*,*,*,*,*,*,*
20,Bedford County,35,Community High School,Students with Disabilities,11,100,12.6,15.6,13.5,15.5,14.5,1,9.1,10,90.9
30,Benton County,10,Big Sandy School,All Students,17,100,18.1,17.8,19.4,19.1,18.8,6,35.3,11,64.7
30,Benton County,10,Big Sandy School,Economically Disadvantaged,8,*,*,*,*,*,*,*,*,*,*
30,Benton County,10,Big Sandy School,Students with Disabilities,3,*,*,*,*,*,*,*,*,*,*
30,Benton County,25,Camden Central High School,All Students,136,97,18.8,19.3,19.4,19.9,19.5,48,35.3,65,47.8
30,Benton County,25,Camden Central High School,Black/Hispanic/Native American,10,100,15.9,17.3,18.7,17.4,17.5,1,10,7,70
30,Benton County,25,Camden Central High School,Economically Disadvantaged,57,93,16.5,18.1,18.2,18.5,17.9,13,22.8,33,57.9
30,Benton County,25,Camden Central High School,English Learners,1,*,*,*,*,*,*,*,*,*,*
30,Benton County,25,Camden Central High School,Students with Disabilities,28,97,13.9,16.2,15.6,16.2,15.6,4,14.3,23,82.1
40,Bledsoe County,5,Bledsoe County High School,All Students,120,100,17.1,17.8,17.8,18.1,17.8,29,24.2,73,60.8
40,Bledsoe County,5,Bledsoe County High School,Black/Hispanic/Native American,8,*,*,*,*,*,*,*,*,*,*
40,Bledsoe County,5,Bledsoe County High School,Economically Disadvantaged,59,100,16.1,16.9,17.5,17.1,17,10,16.9,37,62.7
40,Bledsoe County,5,Bledsoe County High School,English Learners,1,*,*,*,*,*,*,*,*,*,*
40,Bledsoe County,5,Bledsoe County High School,Students with Disabilities,22,100,12.6,15.1,13.7,13.7,13.9,**,**,**,**
50,Blount County,63,Heritage High School,All Students,307,95,19.2,18.5,19.8,19.2,19.3,110,35.8,160,52.1
50,Blount County,63,Heritage High School,Black/Hispanic/Native American,22,92,17.5,17.1,17.9,17.7,17.7,5,22.7,15,68.2
50,Blount County,63,Heritage High School,Economically Disadvantaged,108,92,17,17,18.1,17.9,17.6,23,21.3,72,66.7
50,Blount County,63,Heritage High School,English Learners,2,*,*,*,*,*,*,*,*,*,*
50,Blount County,63,Heritage High School,Students with Disabilities,30,86,12.5,15.3,14,14.7,14.2,**,**,**,**
50,Blount County,123,Samuel Everett School of Innovation,All Students,18,100,20.7,18.6,21.9,20.4,20.4,10,55.6,5,27.8
50,Blount County,123,Samuel Everett School of Innovation,Black/Hispanic/Native American,1,*,*,*,*,*,*,*,*,*,*
50,Blount County,123,Samuel Everett School of Innovation,Economically Disadvantaged,5,*,*,*,*,*,*,*,*,*,*
50,Blount County,155,William Blount High School,All Students,389,99,19.4,19.1,20.2,19.7,19.7,153,39.3,188,48.3
50,Blount County,155,William Blount High School,Black/Hispanic/Native American,31,100,16.5,18,17.8,18.3,17.9,9,29,20,64.5
50,Blount County,155,William Blount High School,Economically Disadvantaged,101,98,15.6,16.9,16.7,16.8,16.6,16,15.8,76,75.2
50,Blount County,155,William Blount High School,English Learners,4,*,*,*,*,*,*,*,*,*,*
50,Blount County,155,William Blount High School,Students with Disabilities,47,94,12,15,13.8,13.6,13.8,**,**,**,**
51,Alcoa,10,Alcoa High School,All Students,157,100,21.7,20.6,21.9,21.9,21.7,92,58.6,51,32.5
51,Alcoa,10,Alcoa High School,Black/Hispanic/Native American,47,100,18.1,18.3,18.4,19.3,18.7,17,36.2,26,55.3
51,Alcoa,10,Alcoa High School,Economically Disadvantaged,31,100,16.6,17,17,18.1,17.4,6,19.4,21,67.7
51,Alcoa,10,Alcoa High School,English Learners,4,*,*,*,*,*,*,*,*,*,*
51,Alcoa,10,Alcoa High School,Students with Disabilities,11,100,16.2,15.8,17.1,17.5,16.8,2,18.2,9,81.8
52,Maryville,15,Maryville High School,All Students,401,100,23.5,23.6,24,23.5,23.8,286,71.3,81,20.2
52,Maryville,15,Maryville High School,Black/Hispanic/Native American,39,100,18.2,19.5,20.6,19.8,19.6,15,38.5,19,48.7
52,Maryville,15,Maryville High School,Economically Disadvantaged,69,100,18.4,18.8,19.5,19.5,19.1,25,36.2,37,53.6
52,Maryville,15,Maryville High School,English Learners,4,*,*,*,*,*,*,*,*,*,*
52,Maryville,15,Maryville High School,Students with Disabilities,45,98,14.4,17,16.4,16.2,16.1,7,15.6,35,77.8
60,Bradley County,20,Bradley Central High School,All Students,361,100,17.8,17.9,19.3,18.9,18.6,111,30.7,193,53.5
60,Bradley County,20,Bradley Central High School,Black/Hispanic/Native American,28,100,14.7,16.5,17.3,16.9,16.6,2,7.1,21,75
60,Bradley County,20,Bradley Central High School,Economically Disadvantaged,133,100,16.3,17.1,17.6,17.7,17.4,29,21.8,84,63.2
60,Bradley County,20,Bradley Central High School,English Learners,2,*,*,*,*,*,*,*,*,*,*
60,Bradley County,20,Bradley Central High School,Students with Disabilities,33,100,12.2,15.1,14.2,14.1,14,**,**,**,**
60,Bradley County,53,North Cleveland GOAL Academy,All Students,27,100,13.1,14.4,13.7,15.5,14.3,**,**,**,**
60,Bradley County,53,North Cleveland GOAL Academy,Black/Hispanic/Native American,3,*,*,*,*,*,*,*,*,*,*
60,Bradley County,53,North Cleveland GOAL Academy,Economically Disadvantaged,20,100,12.9,13.6,13.2,14.7,13.7,**,**,**,**
60,Bradley County,53,North Cleveland GOAL Academy,Students with Disabilities,3,*,*,*,*,*,*,*,*,*,*
60,Bradley County,78,Walker Valley High School,All Students,332,99,20.9,20.1,21.8,21,21.1,173,52.1,106,31.9
60,Bradley County,78,Walker Valley High School,Black/Hispanic/Native American,31,97,18.3,18.4,19.5,18.6,18.9,9,29,18,58.1
60,Bradley County,78,Walker Valley High School,Economically Disadvantaged,86,98,19,18.9,20.5,19.6,19.6,33,38.4,43,50
60,Bradley County,78,Walker Valley High School,English Learners,1,*,*,*,*,*,*,*,*,*,*
60,Bradley County,78,Walker Valley High School,Students with Disabilities,17,89,15.4,16.1,16.1,15.5,15.9,1,5.9,13,76.5
60,Bradley County,105,Bradley County Virtual School,All Students,22,100,17.7,18.2,20.4,19,18.9,4,18.2,14,63.6
60,Bradley County,105,Bradley County Virtual School,Black/Hispanic/Native American,2,*,*,*,*,*,*,*,*,*,*
60,Bradley County,105,Bradley County Virtual School,Economically Disadvantaged,6,*,*,*,*,*,*,*,*,*,*
60,Bradley County,105,Bradley County Virtual School,Students with Disabilities,2,*,*,*,*,*,*,*,*,*,*
61,Cleveland,20,Cleveland High,All Students,358,92,19.7,19.1,20.8,20.2,20.1,143,39.9,165,46.1
61,Cleveland,20,Cleveland High,Black/Hispanic/Native American,119,89,15.7,16.6,16.7,17.1,16.7,15,12.6,84,70.6
61,Cleveland,20,Cleveland High,Economically Disadvantaged,153,91,17.1,17.7,18.8,18.5,18.2,40,26.1,95,62.1
61,Cleveland,20,Cleveland High,English Learners,30,86,12.7,15.8,14.4,15.8,14.8,**,**,**,**
61,Cleveland,20,Cleveland High,Students with Disabilities,33,80,13.4,15.6,16.1,17.1,15.7,3,9.1,29,87.9
70,Campbell County,3,Campbell County Comprehensive High School,All Students,284,95,15.7,16.8,17.7,17.1,17,57,20.1,195,68.7
70,Campbell County,3,Campbell County Comprehensive High School,Black/Hispanic/Native American,8,*,*,*,*,*,*,*,*,*,*
70,Campbell County,3,Campbell County Comprehensive High School,Economically Disadvantaged,136,94,14.8,16.3,16.8,16.3,16.2,19,14,104,76.5
70,Campbell County,3,Campbell County Comprehensive High School,English Learners,1,*,*,*,*,*,*,*,*,*,*
70,Campbell County,3,Campbell County Comprehensive High School,Students with Disabilities,33,92,11,14.2,13,13.5,13,**,**,**,**
70,Campbell County,75,Jellico High School,All Students,55,92,16.1,16.5,17.6,17.4,17.1,9,16.4,39,70.9
70,Campbell County,75,Jellico High School,Black/Hispanic/Native American,0,*,*,*,*,*,*,*,*,*,*
70,Campbell County,75,Jellico High School,Economically Disadvantaged,32,94,15.7,16.1,17.4,16.9,16.7,5,15.6,24,75
70,Campbell County,75,Jellico High School,Students with Disabilities,7,*,*,*,*,*,*,*,*,*,*
80,Cannon County,16,Cannon County High School,All Students,138,99,18.2,18.5,19.2,19.1,18.9,45,32.6,75,54.3
80,Cannon County,16,Cannon County High School,Black/Hispanic/Native American,12,92,15,16.3,16.5,16.1,16.1,1,8.3,11,91.7
80,Cannon County,16,Cannon County High School,Economically Disadvantaged,46,96,16.7,17.5,17.5,17.5,17.5,10,21.7,32,69.6
80,Cannon County,16,Cannon County High School,Students with Disabilities,16,89,12.8,15.6,13.5,14.6,14.3,1,6.3,15,93.8
92,Hollow Rock - Bruceton,10,Central High School,All Students,39,100,19.6,18.5,20.3,19,19.5,15,38.5,19,48.7
92,Hollow Rock - Bruceton,10,Central High School,Black/Hispanic/Native American,4,*,*,*,*,*,*,*,*,*,*
92,Hollow Rock - Bruceton,10,Central High School,Economically Disadvantaged,24,100,17.3,17.4,19,17.4,17.9,7,29.2,14,58.3
92,Hollow Rock - Bruceton,10,Central High School,Students with Disabilities,4,*,*,*,*,*,*,*,*,*,*
93,Huntingdon Special School District,10,Huntingdon High School,All Students,91,98,18.9,18.1,19.8,19.4,19.1,32,35.2,45,49.5
93,Huntingdon Special School District,10,Huntingdon High School,Black/Hispanic/Native American,22,100,15.5,15.4,15.7,15.8,15.7,**,**,**,**
93,Huntingdon Special School District,10,Huntingdon High School,Economically Disadvantaged,38,97,15.6,16.2,16,17.1,16.4,4,10.5,30,78.9
93,Huntingdon Special School District,10,Huntingdon High School,Students with Disabilities,10,100,12.2,15.1,13.8,14,13.8,**,**,**,**
94,McKenzie,10,McKenzie High School,All Students,89,98,19.7,19.8,20.7,20.5,20.4,43,48.3,31,34.8
94,McKenzie,10,McKenzie High School,Black/Hispanic/Native American,22,96,19,18.5,20.3,20.1,19.6,11,50,10,45.5
94,McKenzie,10,McKenzie High School,Economically Disadvantaged,40,95,17,17.8,17.7,17.9,17.7,10,25,25,62.5
94,McKenzie,10,McKenzie High School,English Learners,1,*,*,*,*,*,*,*,*,*,*
94,McKenzie,10,McKenzie High School,Students with Disabilities,14,93,10.9,14.6,13.3,13.3,13.1,**,**,**,**
95,South Carroll,5,Clarksburg School,All Students,22,96,16.7,16.5,16.9,17.4,17,2,9.1,16,72.7
95,South Carroll,5,Clarksburg School,Black/Hispanic/Native American,1,*,*,*,*,*,*,*,*,*,*
95,South Carroll,5,Clarksburg School,Economically Disadvantaged,13,100,16.4,16.5,16.8,17.2,16.8,2,15.4,10,76.9
95,South Carroll,5,Clarksburg School,Students with Disabilities,2,*,*,*,*,*,*,*,*,*,*
97,West Carroll Sp Dist,5,West Carroll Junior/Senior High School,All Students,73,92,20.1,18.4,20,20,19.8,29,39.7,35,47.9
97,West Carroll Sp Dist,5,West Carroll Junior/Senior High School,Black/Hispanic/Native American,13,87,21,18.5,20,20.5,20.2,5,38.5,6,46.2
97,West Carroll Sp Dist,5,West Carroll Junior/Senior High School,Economically Disadvantaged,38,88,18.8,18.3,19.3,19.6,19.2,16,42.1,19,50
97,West Carroll Sp Dist,5,West Carroll Junior/Senior High School,Students with Disabilities,11,85,13.6,15.6,15.6,14.7,15.1,1,9.1,10,90.9
100,Carter County,15,Cloudland High School,All Students,55,95,16.6,17.8,18.7,18.4,18.1,14,25.5,28,50.9
100,Carter County,15,Cloudland High School,Black/Hispanic/Native American,1,*,*,*,*,*,*,*,*,*,*
100,Carter County,15,Cloudland High School,Economically Disadvantaged,25,93,15.5,17.2,17.4,17.3,17,5,20,16,64
100,Carter County,15,Cloudland High School,Students with Disabilities,7,*,*,*,*,*,*,*,*,*,*
100,Carter County,30,Hampton High School,All Students,89,100,16.7,17.1,18.3,18.3,17.7,18,20.2,60,67.4
100,Carter County,30,Hampton High School,Black/Hispanic/Native American,3,*,*,*,*,*,*,*,*,*,*
100,Carter County,30,Hampton High School,Economically Disadvantaged,47,100,15.4,16,16.9,17.1,16.5,5,10.6,38,80.9
100,Carter County,30,Hampton High School,Students with Disabilities,14,100,12.1,15.6,14.7,15.6,14.6,**,**,**,**
100,Carter County,40,Happy Valley High School,All Students,101,92,18.6,17.1,19.1,18.6,18.5,28,27.7,59,58.4
100,Carter County,40,Happy Valley High School,Black/Hispanic/Native American,1,*,*,*,*,*,*,*,*,*,*
100,Carter County,40,Happy Valley High School,Economically Disadvantaged,52,88,17.8,16.7,18.2,17.7,17.7,11,21.2,34,65.4
100,Carter County,40,Happy Valley High School,Students with Disabilities,9,*,*,*,*,*,*,*,*,*,*
100,Carter County,90,Unaka High School,All Students,75,85,18.6,18.3,19.5,18.7,18.9,26,34.7,38,50.7
100,Carter County,90,Unaka High School,Black/Hispanic/Native American,4,*,*,*,*,*,*,*,*,*,*
100,Carter County,90,Unaka High School,Economically Disadvantaged,42,81,17.4,17.4,18.1,17.7,17.8,11,26.2,26,61.9
100,Carter County,90,Unaka High School,Students with Disabilities,13,81,13.5,15,14.8,15.2,14.7,**,**,**,**
101,Elizabethton,15,Elizabethton High School,All Students,179,98,20.2,19.4,20.8,20.1,20.3,85,47.5,77,43
101,Elizabethton,15,Elizabethton High School,Black/Hispanic/Native American,16,100,15.4,15.3,17,16.2,16.1,1,6.3,15,93.8
101,Elizabethton,15,Elizabethton High School,Economically Disadvantaged,47,98,16.8,17.6,17.6,18.3,17.7,14,29.8,31,66
101,Elizabethton,15,Elizabethton High School,Students with Disabilities,19,100,14.5,14.5,15.4,16.2,15.3,**,**,**,**
110,Cheatham County,10,Cheatham Co Central,All Students,151,97,18.2,17.5,19.3,18.3,18.4,45,29.8,83,55
110,Cheatham County,10,Cheatham Co Central,Black/Hispanic/Native American,14,88,17.6,17,18.2,18.2,17.7,3,21.4,9,64.3
110,Cheatham County,10,Cheatham Co Central,Economically Disadvantaged,47,94,16.7,16.4,17.2,17.1,17,10,21.3,33,70.2
110,Cheatham County,10,Cheatham Co Central,English Learners,1,*,*,*,*,*,*,*,*,*,*
110,Cheatham County,10,Cheatham Co Central,Students with Disabilities,22,100,14,15.1,16.2,16.3,15.4,**,**,**,**
110,Cheatham County,19,Harpeth High School,All Students,115,98,20.6,19.5,22,21.1,21,63,54.8,39,33.9
110,Cheatham County,19,Harpeth High School,Black/Hispanic/Native American,4,*,*,*,*,*,*,*,*,*,*
110,Cheatham County,19,Harpeth High School,Economically Disadvantaged,23,96,17.4,18.5,19.4,20,19,7,30.4,11,47.8
110,Cheatham County,19,Harpeth High School,Students with Disabilities,9,*,*,*,*,*,*,*,*,*,*
110,Cheatham County,33,Sycamore High School,All Students,178,97,18.6,18.5,20,19.7,19.4,61,34.3,92,51.7
110,Cheatham County,33,Sycamore High School,Black/Hispanic/Native American,13,87,14.7,16.8,17,16.9,16.6,3,23.1,10,76.9
110,Cheatham County,33,Sycamore High School,Economically Disadvantaged,41,93,15.3,16.3,17.7,17.9,17,6,14.6,30,73.2
110,Cheatham County,33,Sycamore High School,English Learners,2,*,*,*,*,*,*,*,*,*,*
110,Cheatham County,33,Sycamore High School,Students with Disabilities,20,95,12.2,15.7,14.1,15.3,14.5,**,**,**,**
110,Cheatham County,40,Riverside Academy,All Students,1,*,*,*,*,*,*,*,*,*,*
110,Cheatham County,40,Riverside Academy,Black/Hispanic/Native American,1,*,*,*,*,*,*,*,*,*,*
110,Cheatham County,40,Riverside Academy,Economically Disadvantaged,1,*,*,*,*,*,*,*,*,*,*
120,Chester County,8,Chester County High School,All Students,195,100,19.6,19.1,19.8,19.2,19.7,77,39.5,88,45.1
120,Chester County,8,Chester County High School,Black/Hispanic/Native American,33,100,16.9,18,17.6,17.9,17.8,7,21.2,20,60.6
120,Chester County,8,Chester County High School,Economically Disadvantaged,70,100,18.2,17.9,17.6,17.8,18.1,19,27.1,42,60
120,Chester County,8,Chester County High School,Students with Disabilities,21,100,14.4,15.4,15,14.9,15.1,**,**,**,**
130,Claiborne County,93,Cumberland Gap High School,All Students,106,94,18.7,19.2,20.4,19.4,19.6,44,41.5,45,42.5
130,Claiborne County,93,Cumberland Gap High School,Black/Hispanic/Native American,4,*,*,*,*,*,*,*,*,*,*
130,Claiborne County,93,Cumberland Gap High School,Economically Disadvantaged,35,90,15.8,17.7,18.5,17.8,17.6,7,20,19,54.3
130,Claiborne County,93,Cumberland Gap High School,Students with Disabilities,7,*,*,*,*,*,*,*,*,*,*
130,Claiborne County,110,Claiborne High School,All Students,146,92,16.8,17.2,17.8,17.7,17.5,36,24.7,95,65.1
130,Claiborne County,110,Claiborne High School,Black/Hispanic/Native American,9,*,*,*,*,*,*,*,*,*,*
130,Claiborne County,110,Claiborne High School,Economically Disadvantaged,69,88,15.5,16.4,16.5,16.8,16.4,9,13,54,78.3
130,Claiborne County,110,Claiborne High School,Students with Disabilities,23,82,11.9,14.7,13.4,14.5,13.8,**,**,**,**
140,Clay County,12,Clay County High School,All Students,61,92,18.3,18,17.9,18.2,18.3,15,24.6,37,60.7
140,Clay County,12,Clay County High School,Black/Hispanic/Native American,1,*,*,*,*,*,*,*,*,*,*
140,Clay County,12,Clay County High School,Economically Disadvantaged,26,87,17.3,17,15.9,16.7,17,3,11.5,17,65.4
140,Clay County,12,Clay County High School,Students with Disabilities,10,91,11.8,14.9,13.4,14.8,13.9,**,**,**,**
150,Cocke County,15,Cocke Co High School,All Students,257,96,17.3,17.8,18.8,18.4,18.2,65,25.3,150,58.4
150,Cocke County,15,Cocke Co High School,Black/Hispanic/Native American,23,92,14.4,16.1,16.4,16.7,16.1,3,13,15,65.2
150,Cocke County,15,Cocke Co High School,Economically Disadvantaged,132,96,16,16.7,17.7,17.4,17.1,22,16.7,91,68.9
150,Cocke County,15,Cocke Co High School,English Learners,1,*,*,*,*,*,*,*,*,*,*
150,Cocke County,15,Cocke Co High School,Students with Disabilities,26,93,12.7,14.8,13.8,14.7,14.2,2,7.7,24,92.3
150,Cocke County,27,Cosby High School,All Students,83,91,17.8,16.8,19.1,18.5,18.2,22,26.5,48,57.8
150,Cocke County,27,Cosby High School,Black/Hispanic/Native American,3,*,*,*,*,*,*,*,*,*,*
150,Cocke County,27,Cosby High School,Economically Disadvantaged,46,92,18,16.9,18.9,18.5,18.3,14,30.4,25,54.3
150,Cocke County,27,Cosby High School,English Learners,1,*,*,*,*,*,*,*,*,*,*
150,Cocke County,27,Cosby High School,Students with Disabilities,5,*,*,*,*,*,*,*,*,*,*
160,Coffee County,5,Coffee County Central High School,All Students,355,98,19.3,18.8,19.9,19.5,19.5,140,39.4,178,50.1
160,Coffee County,5,Coffee County Central High School,Black/Hispanic/Native American,46,98,18.5,19.3,19.5,18.8,19.1,17,37,25,54.3
160,Coffee County,5,Coffee County Central High School,Economically Disadvantaged,125,97,16.3,16.8,17.8,17.6,17.3,28,22.4,89,71.2
160,Coffee County,5,Coffee County Central High School,English Learners,5,*,*,*,*,*,*,*,*,*,*
160,Coffee County,5,Coffee County Central High School,Students with Disabilities,50,98,13.7,15.6,15.4,15.5,15.2,5,10,44,88
162,Tullahoma,35,Tullahoma High School,All Students,226,98,21.6,20.9,22.3,21.6,21.8,120,53.1,77,34.1
162,Tullahoma,35,Tullahoma High School,Black/Hispanic/Native American,36,100,17.9,18.1,20.1,19.6,19.1,13,36.1,19,52.8
162,Tullahoma,35,Tullahoma High School,Economically Disadvantaged,54,100,17.3,17.8,18.6,19.1,18.4,16,29.6,30,55.6
162,Tullahoma,35,Tullahoma High School,English Learners,2,*,*,*,*,*,*,*,*,*,*
162,Tullahoma,35,Tullahoma High School,Students with Disabilities,23,100,13.4,15.8,14.8,16.9,15.4,**,**,**,**
170,Crockett County,3,Crockett County High School,All Students,202,98,18.6,17.8,20.1,19.3,19.1,69,34.2,108,53.5
170,Crockett County,3,Crockett County High School,Black/Hispanic/Native American,60,98,16,16.4,17.5,17.5,17,10,16.7,43,71.7
170,Crockett County,3,Crockett County High School,Economically Disadvantaged,94,98,17,16.9,18.9,18.1,17.9,24,25.5,60,63.8
170,Crockett County,3,Crockett County High School,English Learners,8,*,*,*,*,*,*,*,*,*,*
170,Crockett County,3,Crockett County High School,Students with Disabilities,16,94,11.6,14.8,13.1,15.3,13.6,**,**,**,**
180,Cumberland County,25,Cumberland County High School,All Students,206,100,19.7,19.8,20.7,20.3,20.3,90,43.7,86,41.7
180,Cumberland County,25,Cumberland County High School,Black/Hispanic/Native American,6,*,*,*,*,*,*,*,*,*,*
180,Cumberland County,25,Cumberland County High School,Economically Disadvantaged,69,100,17.7,18,18.4,18.7,18.4,17,24.6,41,59.4
180,Cumberland County,25,Cumberland County High School,Students with Disabilities,24,100,14.3,15.9,15.3,16.5,15.8,2,8.3,19,79.2
180,Cumberland County,79,Stone Memorial High School,All Students,208,100,20.3,20.3,21.5,20.5,20.8,95,45.7,84,40.4
180,Cumberland County,79,Stone Memorial High School,Black/Hispanic/Native American,12,100,15.3,17,17.9,16.5,16.8,2,16.7,8,66.7
180,Cumberland County,79,Stone Memorial High School,Economically Disadvantaged,73,99,17.6,18.3,19.1,18.4,18.5,24,32.9,42,57.5
180,Cumberland County,79,Stone Memorial High School,English Learners,2,*,*,*,*,*,*,*,*,*,*
180,Cumberland County,79,Stone Memorial High School,Students with Disabilities,24,100,14.6,16.9,16.2,16.6,16.2,3,12.5,20,83.3
180,Cumberland County,85,The Phoenix School,All Students,46,98,13.3,15.3,14.4,15.3,14.6,**,**,**,**
180,Cumberland County,85,The Phoenix School,Black/Hispanic/Native American,4,*,*,*,*,*,*,*,*,*,*
180,Cumberland County,85,The Phoenix School,Economically Disadvantaged,22,100,13.8,15.8,14.6,16,15.1,**,**,**,**
180,Cumberland County,85,The Phoenix School,English Learners,4,*,*,*,*,*,*,*,*,*,*
180,Cumberland County,85,The Phoenix School,Students with Disabilities,10,91,11.6,14.6,13.4,14.6,13.6,**,**,**,**
190,Davidson County,3,MNPS Virtual School,All Students,15,88,22,18.7,23.5,20.9,21.4,9,60,4,26.7
190,Davidson County,3,MNPS Virtual School,Black/Hispanic/Native American,1,*,*,*,*,*,*,*,*,*,*
190,Davidson County,3,MNPS Virtual School,Economically Disadvantaged,2,*,*,*,*,*,*,*,*,*,*
190,Davidson County,3,MNPS Virtual School,English Learners,0,*,*,*,*,*,*,*,*,*,*
190,Davidson County,20,Antioch High School,All Students,361,86,15.5,16.4,16.7,16.8,16.5,49,13.6,273,75.6
190,Davidson County,20,Antioch High School,Black/Hispanic/Native American,268,87,15,16,16.1,16.4,16.1,29,10.8,216,80.6
190,Davidson County,20,Antioch High School,Economically Disadvantaged,207,84,15,16.2,16.4,16.5,16.2,21,10.1,163,78.7
190,Davidson County,20,Antioch High School,English Learners,80,77,12,15.2,13.4,14.5,13.9,**,**,**,**
190,Davidson County,20,Antioch High School,Students with Disabilities,25,86,12.5,14.9,13.5,13.8,13.9,**,**,**,**
190,Davidson County,53,Nashville Big Picture High School,All Students,24,100,16.5,16.8,16.9,17.8,17.2,3,12.5,17,70.8
190,Davidson County,53,Nashville Big Picture High School,Black/Hispanic/Native American,19,100,16,16.3,16.6,17.3,16.8,2,10.5,15,78.9
190,Davidson County,53,Nashville Big Picture High School,Economically Disadvantaged,11,100,16.9,16.6,16.6,17.2,17,1,9.1,8,72.7
190,Davidson County,53,Nashville Big Picture High School,English Learners,1,*,*,*,*,*,*,*,*,*,*
190,Davidson County,53,Nashville Big Picture High School,Students with Disabilities,3,*,*,*,*,*,*,*,*,*,*
190,Davidson County,77,Cane Ridge High School,All Students,378,95,15.9,16.3,17,16.9,16.7,41,10.8,278,73.5
190,Davidson County,77,Cane Ridge High School,Black/Hispanic/Native American,281,97,15.5,16,16.8,16.6,16.4,26,9.3,215,76.5
190,Davidson County,77,Cane Ridge High School,Economically Disadvantaged,206,94,15.3,16.2,16.5,16.7,16.4,16,7.8,159,77.2
190,Davidson County,77,Cane Ridge High School,English Learners,90,91,12.4,15.1,13.8,15.3,14.3,**,**,**,**
190,Davidson County,77,Cane Ridge High School,Students with Disabilities,33,97,13.1,14.8,14.8,15.6,14.8,2,6.1,31,93.9
190,Davidson County,203,East Nashville Magnet High School,All Students,173,98,17.3,17.1,18,18.2,17.8,27,15.6,106,61.3
190,Davidson County,203,East Nashville Magnet High School,Black/Hispanic/Native American,163,98,17,16.9,17.8,18,17.6,22,13.5,103,63.2
190,Davidson County,203,East Nashville Magnet High School,Economically Disadvantaged,94,97,16.6,16.7,17.5,17.8,17.3,10,10.6,64,68.1
